NUMBER_1,X_WORLD_1,Y_WORLD_1,XWIN_WORLD_1,YWIN_WORLD_1,X_IMAGE_1,Y_IMAGE_1,FLUX_ISO_1,FLUXERR_ISO_1,MAG_ISO (V),MAGERR_ISO (V),FLUX_AUTO_1,FLUXERR_AUTO_1,FLUX_MAX_1,ISOAREA_IMAGE_1,CXX_IMAGE_1,CYY_IMAGE_1,CXY_IMAGE_1,A_IMAGE_1,THETA_IMAGE_1,FLAGS_1,ELONGATION_1,ELLIPTICITY_1,NUMBER_2,X_WORLD_2,Y_WORLD_2,XWIN_WORLD_2,YWIN_WORLD_2,X_IMAGE_2,Y_IMAGE_2,FLUX_ISO_2,FLUXERR_ISO_2,MAG_ISO (B),MAGERR_ISO (B),FLUX_AUTO_2,FLUXERR_AUTO_2,FLUX_MAX_2,ISOAREA_IMAGE_2,CXX_IMAGE_2,CYY_IMAGE_2,CXY_IMAGE_2,A_IMAGE_2,THETA_IMAGE_2,FLAGS_2,ELONGATION_2,ELLIPTICITY_2,Separation
1949,91.82576356,24.3294724,91.82575972,24.32947045,44.656296,827.0781,2283.6348,75.49208,18.003433,0.03590084,2163.2568,96.21238,943.8887,6,1.1451712,2.0333323,-0.43988538,0.95620954,13.1740675,0,1.38066,0.27570873,1152,91.82576162,24.32947694,91.82575892,24.32946755,44.62765,827.06683,2268.208,73.626785,18.010792,0.03525192,2147.3071,94.75308,943.8887,6,1.2127043,2.0331914,-0.34544453,0.9214235,11.4161215,0,1.3250791,0.24532807,0.017533008
1950,91.82223128,24.10716,91.82220512,24.10714897,1449.7544,812.7596,8013.8906,152.4858,16.64039,0.020664066,8299.132,183.08658,626.89624,53,0.40924418,0.38994953,0.011405873,1.6045971,-74.705444,0,1.02845,0.027662992,1084,91.8222267,24.10714978,91.82220482,24.10714891,1449.8191,812.73346,7575.3286,136.4176,16.701496,0.019556843,8257.701,173.38928,626.89624,42,0.48040766,0.47328088,0.025997289,1.4690545,-52.665104,0,1.0286765,0.027877033,0.039746673
1951,91.82358541,24.10348068,91.8235779,24.10348046,1472.974,820.67114,1466.3257,88.15734,18.484423,0.06529168,1808.2139,143.04427,150.44142,18,0.75109076,0.6785851,0.35433635,1.368453,-50.78222,0,1.2951071,0.22786307,1135,91.82358091,24.10348615,91.82357823,24.1034805,1472.9395,820.645,1041.1926,64.76024,18.856173,0.06754717,1844.1886,151.20238,150.44142,12,1.3399521,1.1629514,0.50551176,1.0082767,-54.64864,0,1.2427818,0.19535351,0.024625814
1954,91.81931213,24.09115985,91.81928323,24.0911594,1550.9465,796.35114,74297.64,349.07135,14.222562,0.005102336,73515.29,338.76697,5477.6357,164,0.25090376,0.23543073,0.015036846,2.0744421,-67.90953,0,1.0453937,0.04342264,1023,91.81931291,24.09115995,91.81928306,24.09115936,1550.9458,796.35565,72634.836,325.174,14.247137,0.004861841,72935.16,331.23495,5477.6357,126,0.28544188,0.26990634,0.01597985,1.9369859,-67.09613,0,1.0409701,0.039357603,0.002598129
1956,91.82592622,24.29037723,91.82592263,24.29038354,291.73505,829.0805,3258.9807,83.289406,17.617294,0.02775478,3300.1821,103.23019,1315.665,7,1.0757592,2.028409,-0.21043885,0.9693326,6.2282553,0,1.3844471,0.27769,1162,91.82592518,24.29038412,91.82592262,24.29038393,291.69153,829.07434,3575.4805,82.02546,17.516665,0.024914036,3269.966,100.50277,1315.665,7,1.1774327,2.0122945,-0.16607651,0.9247954,5.6254005,0,1.3145354,0.23927492,0.025043434
1958,91.82172365,24.11641812,91.82172091,24.11641623,1391.2561,809.58057,6697.8667,152.47792,16.83516,0.02472295,7400.8506,197.96597,547.74554,54,0.3978366,0.32039216,-0.03824411,1.7791228,76.85931,3,1.1284475,0.11382675,1075,91.82172365,24.11641812,91.82173662,24.11641692,1391.2561,809.58057,7689.539,153.99916,16.68525,0.02174943,9597.754,249.28433,547.74554,35,0.57169783,0.49703333,0.06160384,1.4344875,-70.2374,2,1.0950736,0.08681935,0
1959,91.82304518,24.20715098,91.82303186,24.20714589,817.7957,814.7421,4610.4194,129.21204,17.240648,0.030436335,5189.4897,190.2393,414.8263,41,0.53531665,0.39583448,4.71E-05,1.5894365,-89.99033,3,1.1629167,0.14009315,1104,91.82302935,24.20713604,91.82303252,24.20714548,817.89056,814.6513,4060.6907,106.850266,17.3785,0.02857627,5418.6064,194.9268,414.8263,28,0.7084817,0.60052705,-0.110533565,1.3161863,67.16187,0,1.1259025,0.11182368,0.074797399
1962,91.82583243,24.2337229,91.82582874,24.23375282,649.7927,830.0843,2170.9917,74.7423,18.058353,0.037388507,2095.4875,97.220245,867.8318,5,1.0017647,2.0649202,-0.040560853,0.99931175,1.0924269,0,1.4361284,0.30368346,1164,91.82583725,24.23372423,91.82583185,24.23374333,649.78424,830.11206,2407.259,72.78207,17.946192,0.032834575,2129.1357,94.65715,867.8318,5,1.1712803,2.0961883,0.15408891,0.92651933,-4.7292795,0,1.3434728,0.2556604,0.016538542
1963,91.82268725,24.20013484,91.82267795,24.20013242,862.1464,812.8692,10239.125,162.87434,16.374342,0.017275063,10530.874,187.68854,916.2209,52,0.41910926,0.40916684,0.013805732,1.5701249,-62.880085,0,1.0207559,0.020333827,1085,91.82268376,24.2001331,91.82267794,24.20013241,862.1575,812.8491,9556.311,141.65202,16.449274,0.016097644,10511.923,186.93665,916.2209,39,0.52139336,0.51997936,0.010546477,1.3929712,-48.818104,0,1.0102708,0.010166347,0.013051306
1964,91.82458578,24.22145974,91.82456834,24.22145556,727.32666,823.2334,2350.2278,102.443596,17.972225,0.04733743,2889.006,210.71187,232.46716,30,0.5668676,0.5856169,0.068493664,1.3599018,-37.345516,0,1.0636388,0.05983126,1133,91.82456355,24.2214474,91.82456543,24.2214565,727.40515,823.1056,1886.6461,81.33688,18.210773,0.046819516,2680.7466,148.7359,232.46716,18,0.92548525,0.82997704,-0.18450208,1.1367654,58.68426,0,1.126264,0.11210871,0.085435079
